Site,Provincia,Zona,IP,Latido WEB,Latido SRC,Estado,Ping,SSH,I2C,Recuperado,Rem/Tec,Tecnico,Ver.,Comentario,Comentario 2
CE1005,CE,4,10.226.37.40,1/13/18 0:00,Sat Jan 13 00:00:19,Down,,,,,Tecnico,,,Dañado,
CX0437,CX,5,10.226.36.81,1/29/18 2:34,Mon Jan 29 02:28:55,Down,,,,,Tecnico,,,Dañado,
CX2029,CX,5,10.226.34.42,1/30/18 20:12,Tue Jan 30 20:19:20,Down,,,,,Tecnico,,,Dañado,
PO6351,PO,5,10.226.34.49,2/16/18 19:47,Fri Feb 16 19:38:35,Down,,,,,Tecnico,,,Dañado,
AV9404,AV,1,10.226.37.11,3/24/18 4:23,Sat Mar 24 04:25:39,Down,,,,,Tecnico,,,Dañado,
SA5720,SA,1,10.226.34.84,3/28/18 11:23,Wed Mar 28 11:19:10,Down,,,,,Tecnico,,,Dañado,
SS0002,SS,2,10.226.36.120,3/29/18 20:39,Thu Mar 29 20:32:33,Down,,,,,Tecnico,,,Dañado,
OR9728,OR,5,10.226.38.192,4/9/18 3:16,Mon May 28 09:30:02,Down,SI,SI,,No se puede,,Arancha,1.59,"Dañado Raspberry pi, i2c",
CX0019,CX,5,10.226.36.95,4/10/18 0:02,Tue Apr 10 00:36:31,Down,,,,,Tecnico,,,Dañado,
GU9103,GU,1,10.226.34.9,4/13/18 12:41,Fri Apr 13 12:36:00,Down,,,,,Tecnico,,,Dañado,
LU7860,LU,5,10.226.36.87,4/15/18 0:20,Sun Apr 15 00:06:48,Down,SI,,,,,,,,
GU9175,GU,1,10.226.36.251,4/15/18 2:26,Mon May 28 09:29:43,Down,,,,,Tecnico,,,Dañado,
SE0140,SE,4,10.226.38.54,4/16/18 8:41,Mon May 28 09:29:56,Down,SI,SI,,,,,1.59,Dañado i2c Raspberry pi,
OR2801,OR,5,10.226.34.47,4/18/18 23:22,Wed May 23 12:43:21,Down,,,,,Tecnico,,,Sigue caido por actualizacion JAVI,
LU8508,LU,5,10.226.35.59,4/19/18 19:45,Thu Apr 19 19:41:31,Down,SI,,,,,,,,
CU8562,CU,1,10.226.38.85,4/23/18 19:41,Mon Apr 23 19:37:58,Down,,,,,Tecnico,,,Dañado,
MX0112,MX,1,10.226.36.122,4/24/18 15:39,Tue Apr 24 15:35:55,Down,,,,,Remoto,,1.58,"Perdida de latido, conexión OK",
MX3507,MX,1,10.226.37.1,4/25/18 1:42,Wed Apr 25 01:35:30,Down,SI,,,,,,,,
