AX6426	10.226.34.95	Thaumat	17.7	21.2	21.8	25.3	34.5	23.7						Remoto Manual	03-11-2017 10:45:00	
CE1005	10.226.37.40	Zener	16.437	26.75	25.562	28.812	31.187	28.937			40.8		OK	Automático	13-01-2018 00:00:37	
CX0437	10.226.36.81	Zener	11.562	17	9.125	20.5		17			35.4		OK	Manual	29-01-2018 02:34:07	
AX5426	10.226.34.160	Thaumat	11	11	14	14	20.5	16						Remoto Manual	30-01-2018 07:55:15	
CX2029	10.226.34.42	Zener	7.125	24.312	14.25	34.562	34.187	35.75			45.1		OK	Automático	30-01-2018 20:12:21	
PO6351	10.226.34.49	Zener	12.562	14.875	11.875	16.125	22.937	17.437			28.4		OK	Manual	16-02-2018 19:47:35	
BX1903	10.226.34.184	Thaumat	13.5	13	24.5	24	27	25						Remoto Automático	19-03-2018 10:32:28	
MX3302	10.226.35.82	Thaumat	14.5	10	9.5	13	16	12.5						Remoto Automático	22-03-2018 11:57:03	
AV9404	10.226.37.11	Zener	-0.125	7.125	5.937	10.312	10.5	7.187			27.3		OK	Remoto Manual	24-03-2018 04:23:39	
SA5720	10.226.34.84	Zener	25.187	20	26.437	27.25	25.937	26.812			39.2		OK	Automático	28-03-2018 11:23:10	
SS0002	10.226.36.120	Zener	9.875	16.562	20.312	19	17.812	16.687			33.8		OK	Automático	29-03-2018 20:39:46	
OR9728	10.226.38.192	Zener	2.937	22.375	25.187	25.875	26.5	25.062			38.6		OK	Manual	09-04-2018 03:16:35	
CX0019	10.226.36.95	Zener	12.562	16.625		27.687	29.937	19.625			38.6		OK	Manual	10-04-2018 00:02:01	
GU9103	10.226.34.9	Zener	17.5	23.25	19.687	33.875	41.125	27.875			46.2		OK	Automático	13-04-2018 12:41:20	
LU7860	10.226.36.87	Zener									36.5		Sin comunicación	Manual	15-04-2018 00:20:50	
GU9175	10.226.36.251	Zener	7.75	14.562	16.75	17.375	18.25	16.687			31.1		OK	Automático	15-04-2018 02:26:30	
SE0140	10.226.38.54	Zener	11.187	14.687	18.75	21.625	26.625	12.062			35.9		OK	Automático	16-04-2018 08:41:47	
CO7222	10.226.36.78	Zener	29	28.437	33.812	33.812	30.937	33.375			45.1		OK	Manual	17-04-2018 17:21:35	
MX0395	10.226.35.217	Zener	29.125	30.125	38.375	36.437	42.062	34.187			47.2		OK	Automático	18-04-2018 15:32:58	
OR2801	10.226.34.47	Zener	14.687	21.562	20.812	22.312	39.875	20.687			35.4		OK	Automático	18-04-2018 23:22:20	
LU8508	10.226.35.59	Zener	11.625	17.375	16.75	17.625	16.75	16.312			28.4		OK	Automático	19-04-2018 19:45:31	
CR3304	10.226.34.86	Zener	23.75	26	26.5	29.125	26.625	26.437			40.8		OK	Automático	22-04-2018 16:04:39	
CU8562	10.226.38.85	Zener	18.312	22.687	25	24.5	24.687	24.937			43.5		OK	Automático	23-04-2018 19:41:58	
MX0112	10.226.36.122	Zener	29.062	31.812	36.562	38	39.25	35.937			49.9		OK	Automático	24-04-2018 15:39:54	
MX3507	10.226.37.1	Zener	18.25	20.625	20.812	29.5	33.375	21.375			46.2		OK	Automático	25-04-2018 01:42:30	
VX1533	10.226.36.203	Zener	22.25	19.625	26.375	34.625	34.25	26.687			44		OK	Automático	29-04-2018 01:00:21	
OX6104	10.226.36.159	Zener	0	0	0	0	0	0			46.2		Sin comunicación	Automático	29-04-2018 17:21:42	
TE0008	10.226.39.235	Zener	16.375	15.812	22.625	13.187	21.187	22.562			37		OK	Automático	30-04-2018 23:16:01	
CO7228	10.226.36.209	Zener	11.625	21.75	20.875	29.937	35	29.25			42.9		OK	Automático	01-05-2018 01:01:06	
SE0027	10.226.39.31	Zener	13.25	17.125	14.687	18	21.312	21.812			34.3		OK	Automático	01-05-2018 15:50:53	
SG9203	10.226.36.238	Zener	11.875	20.312	26.375	23.062	25.875	26.312			40.8		OK	Automático	02-05-2018 11:42:41	
GR5773	10.226.38.74	Zener	13.875	11.687	11.187	14.375	14.625	11.062			30.6		OK	Automático	02-05-2018 14:45:19	
CO7602	10.226.38.173	Zener	19.437	Error	23.5	26	31.625	25.937			45.6		OK	Mantenimiento	03-05-2018 19:27:53	
CA5207	10.226.38.129	Zener	18	25.75	25.062	25.812	25.875	25.5			38.6		OK	Manual	04-05-2018 10:29:28	
MX1064	10.226.37.22	Zener	16.25	24.75	17.437	23.937	38.375	23.125			37.6		OK	Automático	06-05-2018 01:40:34	
SE0197	10.226.38.88	Zener	27	29.625	36.187	37.625	36.75	33.875			49.4		OK	Automático	06-05-2018 20:24:50	
LU0001	10.226.36.105	Zener									35.9		OK	Manual	07-05-2018 05:59:02	
SA6402	10.226.38.142	Zener	18.187	23.437	26.312	27	26.187	27.5			39.7		OK	Automático	07-05-2018 21:15:26	
LE0010	10.226.38.94	Zener	12.375	18.437	29.25	29.812	31.25	29.25			37		OK	Automático	08-05-2018 04:15:25	
SE0231	10.226.39.34	Zener	15.812	18.25	17.375	19	33	17.937			31.6		OK	Manual	08-05-2018 04:30:27	
BX1528	10.226.39.74	Zener	22.875	25.5	20.812	36.687	36.375	25.625			41.9		OK	Automático	08-05-2018 10:03:24	
JX8508	10.226.38.183	Zener	20.25	23.312	23.375	23.562	27.562	25.937			40.8		Puenteada fase: R	Automático	08-05-2018 23:08:41	
HX9606	10.226.39.36	Zener	12.312	17.187	25.125	25.687	20.312	26.062			37.6		OK	Automático	10-05-2018 10:38:27	
GU0089	10.226.39.153	Zener	21.687	23.687	24.5	26.625	28.75	27.187			41.3		OK	Manual	11-05-2018 13:13:19	
