ip,site,comments
10.226.36.251,GU9175,i2c estropeado
10.226.36.113,SE1325, esta ok
10.226.37.22,MX1064, latido hacia gestion mal, cambio de hora
10.226.38.129,CA5207, i2c faulty
10.226.38.97,VX0091
10.226.39.242,VX0158
10.226.39.34,SE0231
10.226.37.2,AV8483
10.226.36.53,TO0029
10.226.38.88,SE0197
10.226.38.51,LE1812
10.226.39.230,CU8473
10.226.38.94,LE0010
10.226.38.153,HX9653
10.226.38.54,SE0140
10.226.37.25,AV8605
10.226.38.93,CU8325
10.226.38.86,MX0529
10.226.38.135,LE0661
10.226.38.192,OR9728
10.226.39.74,BX1528
10.226.38.142,SA6402
10.226.38.50,CX0024
10.226.38.199,OR9722
10.226.38.20,SE1164
10.226.39.128,PX0021
